animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
43N,17.0,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
2S6,3.17,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
43N,17.0,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
6O7,6.03,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
7F0,11.2,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
37V,15.07,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
55R,14.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3T5,5.12,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
77V,16.15,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
74K,20.81,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
91O,15.86,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
4J6,7.15,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
6O7,6.03,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
41N,16.74,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2C6,14.03,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
37V,15.07,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
37V,15.07,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
55R,14.97,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
82V,16.01,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
43N,17.0,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
6O7,6.03,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
3D1,13.11,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
3T5,5.12,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2T2,4.09,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
4J6,7.15,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
