animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
6D9,13.11,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
98V,16.03,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
1V8,4.31,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
2S6,3.17,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
3R7,3.32,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
8B3,13.09,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2V1,4.3,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
0G3,9.1,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
2F2,11.04,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
3R7,3.32,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
1G8,7.88,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
2V1,4.3,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
7F0,11.2,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
56K,19.93,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
2Q0,3.21,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
4S3,3.18,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
2I1,10.27,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
37V,15.07,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
6L4,8.2,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
8M0,8.12,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
2V1,4.3,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
7M4,8.15,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
2I1,10.27,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
3R7,3.32,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
8I6,9.9,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
5H6,11.03,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
7F0,11.2,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
50P,15.59,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
97R,17.93,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
5H6,11.03,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
7F0,11.2,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
3T5,5.12,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
50P,15.59,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
56K,19.93,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
97R,17.93,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
4J6,7.15,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
2V1,4.3,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
4Q6,3.22,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
4Q6,3.22,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
5H6,11.03,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
2V1,4.3,9,lCb,young,-0.5986516853932584,0.05592385218365062,False,young_enriched
4S3,3.18,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
3E4,11.99,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
2I1,10.27,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
7F0,11.2,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
82V,16.01,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
3K1,9.01,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
82V,16.01,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
4J6,7.15,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
5H6,11.03,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
7M4,8.15,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
4S3,3.18,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
98V,16.03,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
6L4,8.2,9,lCb,young,-0.5986516853932584,0.05592385218365062,False,young_enriched
2I1,10.27,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
1L1,8.17,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
82V,16.01,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
3E4,11.99,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
8I6,9.9,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
5R4,6.25,9,lCb,young,0.6053932584269662,0.01124300111982083,True,old_enriched
5H6,11.03,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
50P,15.59,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
7F0,11.2,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
82V,16.01,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
98V,16.03,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
8I6,9.9,9,lCb,young,-0.5986516853932584,0.05592385218365062,False,young_enriched
50P,15.59,9,lCb,old,0.6053932584269662,0.01124300111982083,True,old_enriched
8I6,9.9,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
97R,17.93,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
2I1,10.27,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
1L1,8.17,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
2S2,6.31,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
50P,15.59,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
5H6,11.03,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
43N,17.0,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
4J6,7.15,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
43N,17.0,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
4Q6,3.22,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
41N,16.74,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2C6,14.03,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
3R7,3.32,9,lCb,young,-0.5986516853932584,0.05592385218365062,False,young_enriched
43N,17.0,9,lCb,old,0.6053932584269662,0.01124300111982083,True,old_enriched
2V1,4.3,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
2Q0,3.21,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
1L1,8.17,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
2V1,4.3,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
4Q6,3.22,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
4J6,7.15,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
2V1,4.3,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
2Q0,3.21,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
3T5,5.12,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
31S,17.0,9,lCb,old,0.6053932584269662,0.01124300111982083,True,old_enriched
2V1,4.3,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
3T5,5.12,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
5R4,6.25,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
4J6,7.15,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
2F2,11.04,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
91O,15.86,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
2S6,3.17,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
42T,15.96,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
2S6,3.17,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
43N,17.0,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
6L4,8.2,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
2V1,4.3,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
97R,17.93,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
2V1,4.3,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
82V,16.01,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
82V,16.01,9,lCb,old,0.6053932584269662,0.01124300111982083,True,old_enriched
82V,16.01,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
4S3,3.18,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
6L4,8.2,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
4S3,3.18,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
42T,15.96,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
6L4,8.2,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
2S6,3.17,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
56R,14.95,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
82V,16.01,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
2Q0,3.21,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
6D9,13.11,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
50P,15.59,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
8B3,13.09,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
5H6,11.03,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
2I1,10.27,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
50P,15.59,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
5R4,6.25,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
4S3,3.18,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
1L1,8.17,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
3D1,13.11,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
50P,15.59,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
3K1,9.01,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
2F2,11.04,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
6L4,8.2,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
2V1,4.3,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
56R,14.95,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
50P,15.59,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
97R,17.93,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
4Q6,3.22,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
5H6,11.03,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
4S3,3.18,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
3K1,9.01,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
4Q6,3.22,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
6L4,8.2,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
3D1,13.11,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
3R7,3.32,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
41N,16.74,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
2I1,10.27,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
56R,14.95,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
55R,14.97,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
97R,17.93,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
3T5,5.12,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
7M4,8.15,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
3T5,5.12,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
8B3,13.09,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
5H6,11.03,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
2Q0,3.21,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
3K1,9.01,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
0G3,9.1,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
37V,15.07,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
56K,19.93,9,lCb,old,0.6053932584269662,0.01124300111982083,True,old_enriched
37V,15.07,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
97R,17.93,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2C6,14.03,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
3K1,9.01,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
3T5,5.12,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
50P,15.59,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
6D9,13.11,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
5H6,11.03,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
5H6,11.03,9,lCb,old,0.0033707865168539223,0.6206718924972005,False,neutral
3R7,3.32,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
3T5,5.12,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
2F2,11.04,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
7M4,8.15,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
3K1,9.01,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
6D9,13.11,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
4J6,7.15,9,lCb,young,0.6053932584269662,0.01124300111982083,True,old_enriched
2V1,4.3,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
6L4,8.2,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
7F0,11.2,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
43N,17.0,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
56R,14.95,9,lCb,old,0.6053932584269662,0.01124300111982083,True,old_enriched
4Q6,3.22,9,lCb,young,0.6053932584269662,0.01124300111982083,True,old_enriched
1L1,8.17,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
5R4,6.25,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
43N,17.0,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
4J6,7.15,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
8I6,9.9,9,lCb,young,0.6053932584269662,0.01124300111982083,True,old_enriched
42T,15.96,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
97R,17.93,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
4S3,3.18,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
6L4,8.2,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
98V,16.03,9,lCb,old,0.4047191011235955,0.17068309070548712,False,neutral
2C6,14.03,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
5R4,6.25,9,lCb,young,0.4047191011235955,0.17068309070548712,False,neutral
3K1,9.01,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
1L1,8.17,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
3T5,5.12,9,lCb,young,-0.3979775280898876,0.17422172452407614,False,neutral
1G8,7.88,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
6L4,8.2,9,lCb,young,0.0033707865168539223,0.6206718924972005,False,neutral
5H6,11.03,9,lCb,old,-0.3979775280898876,0.17422172452407614,False,neutral
2V1,4.3,9,lCb,young,0.2040449438202247,0.17068309070548712,False,neutral
50P,15.59,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
6L4,8.2,9,lCb,young,0.6053932584269662,0.01124300111982083,True,old_enriched
74K,20.81,9,lCb,old,-0.19730337078651686,0.17422172452407614,False,neutral
3K1,9.01,9,lCb,young,-0.19730337078651686,0.17422172452407614,False,neutral
2F2,11.04,9,lCb,old,0.2040449438202247,0.17068309070548712,False,neutral
4J6,7.15,9,lCb,young,0.6053932584269662,0.01124300111982083,True,old_enriched
