animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
4Q6,3.22,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
41N,16.74,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
41N,16.74,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
0B9,12.11,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
3E4,11.99,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
8I6,9.9,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8I6,9.9,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8I6,9.9,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
8B3,13.09,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
42T,15.96,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
0B9,12.11,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
4J6,7.15,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
2V1,4.3,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
56K,19.93,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
43N,17.0,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
2C6,14.03,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
77V,16.15,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
2C0,11.0,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
74K,20.81,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
8C9,12.12,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
8C9,12.12,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
3E4,11.99,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
1P5,6.21,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
91O,15.86,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
4S3,3.18,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
2V1,4.3,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8C9,12.12,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
2C6,14.03,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
2C6,14.03,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
3E4,11.99,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
8I6,9.9,8,IPP,young,-0.5354561480828559,0.005238366301408851,True,young_enriched
4J6,7.15,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
0G3,9.1,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
0G3,9.1,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
3E4,11.99,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
8I6,9.9,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
2S6,3.17,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
41N,16.74,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
41N,16.74,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
2I1,10.27,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
2C6,14.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
91O,15.86,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
5H6,11.03,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
41N,16.74,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
1V8,4.31,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
2V1,4.3,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
0G3,9.1,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2C6,14.03,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
2S6,3.17,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
2S6,3.17,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
46Z,13.97,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
4Q6,3.22,8,IPP,young,-0.5354561480828559,0.005238366301408851,True,young_enriched
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
41N,16.74,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
0B9,12.11,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
6O7,6.03,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,-0.845152049360952,2.5615483136473602e-05,True,young_enriched
6L4,8.2,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
41N,16.74,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
2C6,14.03,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
2C6,14.03,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
3E4,11.99,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
8B3,13.09,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
31S,17.0,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
4Q6,3.22,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
77V,16.15,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
0G3,9.1,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2C6,14.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
8I6,9.9,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
42T,15.96,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
91O,15.86,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
41N,16.74,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
82V,16.01,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
43N,17.0,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8C9,12.12,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
6O7,6.03,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
1P5,6.21,8,IPP,young,-0.5354561480828559,0.005238366301408851,True,young_enriched
2S6,3.17,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
31S,17.0,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
91O,15.86,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
91O,15.86,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
41N,16.74,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
2V1,4.3,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
7F0,11.2,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
2C6,14.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
56K,19.93,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
1P5,6.21,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
8B3,13.09,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
91O,15.86,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
4Q6,3.22,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
56K,19.93,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
56K,19.93,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
6O7,6.03,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
8I6,9.9,8,IPP,young,0.3936315557514324,0.012851857122527394,True,neutral
8I6,9.9,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
91O,15.86,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
6L4,8.2,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
41N,16.74,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
2I1,10.27,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8C9,12.12,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
2Q0,3.21,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
8B3,13.09,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
8B3,13.09,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
4Q6,3.22,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,0.5484795063904804,0.0,True,old_enriched
2C0,11.0,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
0G3,9.1,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
74K,20.81,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
56K,19.93,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
8C9,12.12,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
6O7,6.03,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
2C6,14.03,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
3E4,11.99,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
2T6,5.18,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
31S,17.0,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
77V,16.15,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
1T9,4.11,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
1P5,6.21,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8I6,9.9,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
2S6,3.17,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2S6,3.17,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
46Z,13.97,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
2C6,14.03,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,-0.5354561480828559,0.005238366301408851,True,young_enriched
2Q0,3.21,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
91O,15.86,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
4Q6,3.22,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
6L4,8.2,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
77V,16.15,8,IPP,old,-0.5354561480828559,0.005238366301408851,True,young_enriched
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
4Q6,3.22,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
6L4,8.2,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
3E4,11.99,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
2Q0,3.21,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8M0,8.12,8,IPP,young,0.3936315557514324,0.012851857122527394,True,neutral
5H6,11.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
43N,17.0,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
3D1,13.11,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
2V1,4.3,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
77V,16.15,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
77V,16.15,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
7F0,11.2,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
43N,17.0,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8B3,13.09,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8B3,13.09,8,IPP,old,-0.5354561480828559,0.005238366301408851,True,young_enriched
6L4,8.2,8,IPP,young,0.3936315557514324,0.012851857122527394,True,neutral
1V8,4.31,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2V1,4.3,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
77V,16.15,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
7F0,11.2,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
0G3,9.1,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8C9,12.12,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
6O7,6.03,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
1P5,6.21,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8I6,9.9,8,IPP,young,-0.5354561480828559,0.005238366301408851,True,young_enriched
31S,17.0,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
91O,15.86,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
5H6,11.03,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
41N,16.74,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
41N,16.74,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
2C0,11.0,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
7F0,11.2,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
8I6,9.9,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
91O,15.86,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
1V8,4.31,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
1T9,4.11,8,IPP,young,-0.5354561480828559,0.005238366301408851,True,young_enriched
6O7,6.03,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2C6,14.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
37V,15.07,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
91O,15.86,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
2I1,10.27,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
7F0,11.2,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
8C9,12.12,8,IPP,old,-0.5354561480828559,0.005238366301408851,True,young_enriched
91O,15.86,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
56K,19.93,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
8C9,12.12,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2S6,3.17,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
31S,17.0,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
41N,16.74,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
1T9,4.11,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
6O7,6.03,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
2S6,3.17,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
4J6,7.15,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
6L4,8.2,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
43N,17.0,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
1P5,6.21,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
1L1,8.17,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
91O,15.86,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
46Z,13.97,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
74K,20.81,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
56K,19.93,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
6O7,6.03,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2C6,14.03,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
3E4,11.99,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
8B3,13.09,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
6L4,8.2,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
2I1,10.27,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
2I1,10.27,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
1V8,4.31,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
74K,20.81,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
6O7,6.03,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
2C6,14.03,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
2C6,14.03,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
3E4,11.99,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
8I6,9.9,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
7M4,8.15,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
42T,15.96,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
2T6,5.18,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
4J6,7.15,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
8C9,12.12,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
6O7,6.03,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
91O,15.86,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
91O,15.86,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
77V,16.15,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
6O7,6.03,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
1P5,6.21,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
37V,15.07,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
5H6,11.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
6L4,8.2,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
6L4,8.2,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
1T9,4.11,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
8I6,9.9,8,IPP,young,-0.2257602468047598,0.2572164508325032,False,neutral
1L1,8.17,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
91O,15.86,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
46Z,13.97,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
0G3,9.1,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
0B9,12.11,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
74K,20.81,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
43N,17.0,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
8C9,12.12,8,IPP,old,-0.6903040987219039,0.005238366301408851,True,young_enriched
8I6,9.9,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
31S,17.0,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
5H6,11.03,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
2I1,10.27,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
1V8,4.31,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
1V8,4.31,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
82V,16.01,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
2C6,14.03,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
3E4,11.99,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
8I6,9.9,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
1L1,8.17,8,IPP,young,-0.07091229616571176,0.2572164508325032,False,neutral
4J6,7.15,8,IPP,young,0.2387836051123843,0.08226839333997439,False,neutral
7F0,11.2,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
91O,15.86,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
77V,16.15,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
8C9,12.12,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
41N,16.74,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
77V,16.15,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
82V,16.01,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
6O7,6.03,8,IPP,young,0.08393565447333629,0.5037113988899957,False,neutral
2C6,14.03,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
3E4,11.99,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
3E4,11.99,8,IPP,old,0.3936315557514324,0.012851857122527394,True,neutral
3E4,11.99,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
31S,17.0,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
41N,16.74,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
82V,16.01,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
3E4,11.99,8,IPP,old,0.2387836051123843,0.08226839333997439,False,neutral
1P5,6.21,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
4Q6,3.22,8,IPP,young,-0.38060819744380786,0.09973530667425644,False,neutral
41N,16.74,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
82V,16.01,8,IPP,old,-0.38060819744380786,0.09973530667425644,False,neutral
2C6,14.03,8,IPP,old,-0.5354561480828559,0.005238366301408851,True,young_enriched
2C6,14.03,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8B3,13.09,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
5H6,11.03,8,IPP,old,0.08393565447333629,0.5037113988899957,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.2257602468047598,0.2572164508325032,False,neutral
7F0,11.2,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
8C9,12.12,8,IPP,old,0.5484795063904804,0.0,True,old_enriched
3E4,11.99,8,IPP,old,-0.07091229616571176,0.2572164508325032,False,neutral
