animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
43N,17.0,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
43N,17.0,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
0B9,12.11,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
0B9,12.11,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
8C9,12.12,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
2C6,14.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56R,14.95,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
37V,15.07,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
8M0,8.12,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
56R,14.95,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56R,14.95,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
55R,14.97,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
3T5,5.12,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
5R4,6.25,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
98V,16.03,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
98V,16.03,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
98V,16.03,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
98V,16.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
50P,15.59,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
7M4,8.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
97R,17.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
42T,15.96,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
91O,15.86,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
91O,15.86,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
5H6,11.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
43N,17.0,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
0B9,12.11,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
1L1,8.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
1V8,4.31,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
2V1,4.3,3,MB,young,-0.8391479639833356,0.0010042610076029745,True,young_enriched
7F0,11.2,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
82V,16.01,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
56K,19.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56K,19.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56K,19.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
43N,17.0,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
43N,17.0,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
0B9,12.11,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8C9,12.12,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8C9,12.12,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
1T9,4.11,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
8I6,9.9,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
8I6,9.9,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
8I6,9.9,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
8I6,9.9,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56R,14.95,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56R,14.95,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
5H6,11.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
7M4,8.15,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
6D9,13.11,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
37V,15.07,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
8M0,8.12,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
2S2,6.31,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
2S2,6.31,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
56R,14.95,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
55R,14.97,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
1G8,7.88,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
1G8,7.88,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
5R4,6.25,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
98V,16.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
97R,17.93,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
97R,17.93,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
97R,17.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
42T,15.96,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
2T6,5.18,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
2T6,5.18,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
91O,15.86,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
5H6,11.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
4J6,7.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
6L4,8.2,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
41N,16.74,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
41N,16.74,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
1L1,8.17,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
1V8,4.31,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
0G3,9.1,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
0G3,9.1,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
0G3,9.1,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
82V,16.01,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56K,19.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56K,19.93,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56K,19.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
43N,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
43N,17.0,3,MB,old,-0.6782959279666712,0.0010042610076029745,True,young_enriched
0B9,12.11,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
8C9,12.12,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
1T9,4.11,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
3E4,11.99,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
1P5,6.21,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
1P5,6.21,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
8I6,9.9,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
2S6,3.17,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
56R,14.95,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
5H6,11.03,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
5H6,11.03,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
4J6,7.15,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
6D9,13.11,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
37V,15.07,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
37V,15.07,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56R,14.95,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
56R,14.95,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
1G8,7.88,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
1G8,7.88,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
1G8,7.88,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
98V,16.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
7M4,8.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
7M4,8.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
7M4,8.15,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
97R,17.93,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
42T,15.96,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
46Z,13.97,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
4Q6,3.22,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
0B9,12.11,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
1P5,6.21,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1P5,6.21,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1V8,4.31,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
1V8,4.31,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
1V8,4.31,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
0G3,9.1,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
0G3,9.1,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56K,19.93,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
43N,17.0,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
43N,17.0,3,MB,old,-0.6782959279666712,0.0010042610076029745,True,young_enriched
43N,17.0,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
8C9,12.12,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
8C9,12.12,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
8C9,12.12,3,MB,old,-0.6782959279666712,0.0010042610076029745,True,young_enriched
8C9,12.12,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
1T9,4.11,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
1T9,4.11,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
8I6,9.9,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
2Q0,3.21,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
2Q0,3.21,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
2S6,3.17,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
3R7,3.32,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
5H6,11.03,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
37V,15.07,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
8M0,8.12,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
8M0,8.12,3,MB,young,0.6085203601666442,0.008582170607402457,True,old_enriched
2S2,6.31,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
98V,16.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
7M4,8.15,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
7M4,8.15,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
97R,17.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
97R,17.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
97R,17.93,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
97R,17.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
97R,17.93,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
8B3,13.09,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
42T,15.96,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
42T,15.96,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
31S,17.0,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
91O,15.86,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
5H6,11.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
5H6,11.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
43N,17.0,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
1P5,6.21,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
1P5,6.21,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
1L1,8.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
0G3,9.1,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8I6,9.9,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
5H6,11.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
7M4,8.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
8M0,8.12,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
8M0,8.12,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
1G8,7.88,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
7M4,8.15,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
97R,17.93,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
97R,17.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
31S,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
46Z,13.97,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
46Z,13.97,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
4Q6,3.22,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
5H6,11.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
5H6,11.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
5H6,11.03,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
6L4,8.2,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
2I1,10.27,3,MB,old,-0.6782959279666712,0.0010042610076029745,True,young_enriched
1L1,8.17,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
1L1,8.17,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
1V8,4.31,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1V8,4.31,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
7F0,11.2,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
0G3,9.1,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
0G3,9.1,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
56K,19.93,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
43N,17.0,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
0B9,12.11,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
6O7,6.03,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
2S6,3.17,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
2S6,3.17,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
37V,15.07,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
3T5,5.12,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
1G8,7.88,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
98V,16.03,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
97R,17.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8B3,13.09,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
42T,15.96,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
91O,15.86,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
91O,15.86,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
46Z,13.97,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
4Q6,3.22,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
43N,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
1P5,6.21,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
0G3,9.1,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
56K,19.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8C9,12.12,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8C9,12.12,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
8I6,9.9,3,MB,young,0.6085203601666442,0.008582170607402457,True,old_enriched
2S6,3.17,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
5H6,11.03,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
7M4,8.15,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
8M0,8.12,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
3T5,5.12,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
50P,15.59,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
7M4,8.15,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
97R,17.93,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
97R,17.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
2T6,5.18,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
46Z,13.97,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
4Q6,3.22,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
4Q6,3.22,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
4Q6,3.22,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
5H6,11.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
4J6,7.15,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
43N,17.0,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,-0.5174438919500067,0.04058567967248726,True,young_enriched
6L4,8.2,3,MB,young,0.6085203601666442,0.008582170607402457,True,old_enriched
6L4,8.2,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
6L4,8.2,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1L1,8.17,3,MB,young,0.2868162881333154,0.20302615088979864,False,neutral
1V8,4.31,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
1V8,4.31,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
7F0,11.2,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
56K,19.93,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
43N,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
8C9,12.12,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
2C6,14.03,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
2C6,14.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
8I6,9.9,3,MB,young,-0.6782959279666712,0.0010042610076029745,True,young_enriched
8I6,9.9,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
2S6,3.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
2S6,3.17,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
5H6,11.03,3,MB,old,-0.5174438919500067,0.04058567967248726,True,young_enriched
37V,15.07,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
37V,15.07,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56R,14.95,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
56R,14.95,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
3T5,5.12,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
98V,16.03,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
50P,15.59,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
7M4,8.15,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
7M4,8.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
42T,15.96,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
2T6,5.18,3,MB,young,-1.0,6.266187651432868e-05,True,young_enriched
31S,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
6L4,8.2,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
6L4,8.2,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
6L4,8.2,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
41N,16.74,3,MB,old,-0.6782959279666712,0.0010042610076029745,True,young_enriched
1L1,8.17,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1V8,4.31,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
1V8,4.31,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
82V,16.01,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
56K,19.93,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56K,19.93,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
56K,19.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
43N,17.0,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
43N,17.0,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
43N,17.0,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
43N,17.0,3,MB,old,-0.19573981991667788,0.3158609741833069,False,neutral
1T9,4.11,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
1T9,4.11,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
1T9,4.11,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
2C6,14.03,3,MB,old,-0.3565918559333423,0.04058567967248726,True,neutral
8I6,9.9,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
2S6,3.17,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
56R,14.95,3,MB,old,0.6085203601666442,0.008582170607402457,True,old_enriched
56R,14.95,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
5H6,11.03,3,MB,old,0.12596425211665094,0.43552761300025067,False,neutral
2S2,6.31,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
37V,15.07,3,MB,old,0.2868162881333154,0.20302615088979864,False,neutral
8M0,8.12,3,MB,young,0.4476683241499798,0.008582170607402457,True,neutral
8M0,8.12,3,MB,young,-0.3565918559333423,0.04058567967248726,True,neutral
8M0,8.12,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
1G8,7.88,3,MB,young,-0.19573981991667788,0.3158609741833069,False,neutral
5R4,6.25,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
98V,16.03,3,MB,old,0.4476683241499798,0.008582170607402457,True,neutral
7M4,8.15,3,MB,young,-0.03488778390001347,0.3158609741833069,False,neutral
7M4,8.15,3,MB,young,0.12596425211665094,0.43552761300025067,False,neutral
97R,17.93,3,MB,old,-0.03488778390001347,0.3158609741833069,False,neutral
